title,price,published,acreage,address,latitude,longitude
"Cho thuê nhà trọ mới sạch đẹp tại Lê Đình Cẩn, Phường Tân Tạo, Quận Bình Tân",2.2,16/05/2022,20.0,"Lê Đình Cẩn, Phường Tân Tạo, Quận Bình Tân, Hồ Chí Minh",10.75955921485192,106.59916456024274
"Cho thuê phòng trọ giá rẻ ở mặt tiền hẻm lớn Đường Huỳnh Tấn Phát, Phường Tân Thuận Đông, Quận 7",2.5,20/04/2022,20.0,"487/35/25 Đường Huỳnh Tấn Phát, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh",10.7451403,106.7309851
"Cho thuê phòng trọ kdc Nam Long-Trần Trọng Cung, Quận 7",3.5,10/05/2022,30.0,"Đường 10, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh",10.749984,106.736281
Phòng trọ giá rẻ ngay cổng khu chế xuất Tân Thuận Quận 7,1.5,05/05/2022,30.0,"283/15 Huỳnh Tấn Phát, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh",10.7551219,106.7273098
"Cho thuê phòng có gác, không gác, tolet riêng giá từ 3tr5 đến 4tr/tháng",3.5,05/01/2022,18.0,"Lê Văn Sỹ, Phường 14, Quận Phú Nhuận, Hồ Chí Minh",10.793378219000033,106.66939684700009
"Phòng cho thuê dành cho người đi làm, gần nhiều tiện ích",2.2,05/11/2020,15.0,"174/15 Đường Đặng Văn Ngữ, Phường 14, Quận Phú Nhuận, Hồ Chí Minh",10.791536,106.6669749
"Cho thuê phòng ( nguyên tầng) ban công mặt tiền 4,5 triệu - 20 m 2",4.5,10/03/2022,20.0,"311 Nguyễn Thiện Thuật, Phường 1, Quận 3, Hồ Chí Minh",10.769886037000049,106.67749910100008
"PHÒNG ĐẸP MỚI XÂY,KHÔNG CHUNG CHỦ ,ĐƯỜNG AN DƯƠNG VƯƠNG",3.0,19/07/2022,16.0,"Đường số 4, Phường 16, Quận 8, Hồ Chí Minh",10.733084319901138,106.62245030084306
"Phòng 25m2 full tiện nghi Nguyễn Thiện Thuật, Q3 giá 4tr5/tháng.",4.5,30/03/2022,25.0,"Phố Nguyễn Thiện Thuật, Phường 1, Quận 3, Hồ Chí Minh",10.76835255284258,106.67947809594267
Chính chủ cho thuê phòng 18m2 tai Đặng Văn Ngữ P14 Q Phú Nhuận giá 3tr/tháng,3.0,05/11/2020,18.0,"Đường Đặng Văn Ngữ, Phường 14, Quận Phú Nhuận, Hồ Chí Minh",10.7928047,106.6682924
